total_cas,new_cas,stringency,popul,med_age,aged_65,aged_70,poverty,expectancy,hospital_beds,sanitizer_facil
554474,1346,50.46,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
555511,1037,50.46,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
556519,1008,50.46,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
557591,1072,50.46,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
559093,1502,50.46,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
560363,1270,50.46,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
561625,1262,50.46,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
563029,1404,50.46,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
564077,1048,50.46,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
564077,0,50.46,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
565989,1912,50.46,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
567261,1272,50.46,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
568506,1245,50.46,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
569846,1340,50.46,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
571174,1328,50.46,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
572334,1160,50.46,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
573384,1050,50.46,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
574580,1196,50.46,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
575941,1361,50.46,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
577482,1541,50.46,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
578797,1315,50.46,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
579973,1176,50.46,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
581365,1392,50.46,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
582528,1163,50.46,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
583916,1388,50.46,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
585435,1519,50.46,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
587014,1579,50.46,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
588728,1714,50.46,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
590508,1780,50.46,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
592100,1592,50.46,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
593453,1353,50.46,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
595239,1786,50.46,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
597497,2258,50.46,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
600198,2701,50.46,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
602536,2338,50.46,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
605200,2664,50.46,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
607453,2253,50.46,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
609964,2511,50.46,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
612315,2351,50.46,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
615810,3495,50.46,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
619259,3449,50.46,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
623135,3876,50.46,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
626802,3667,50.46,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
630471,3669,50.46,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
633741,3270,50.46,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
637042,3301,,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
640988,3946,,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
