total_cas,new_cas,stringency,popul,med_age,aged_65,aged_70,poverty,expectancy,hospital_beds,sanitizer_facil
40151,1352,78.7,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
42125,1974,85.19,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
43966,1841,85.19,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
45898,1932,85.19,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
48091,2193,85.19,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
50694,2603,82.41,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
52437,1743,82.41,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
54601,2164,82.41,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
56349,1748,82.41,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
57705,1356,82.41,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
59151,1446,82.41,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
61227,2076,82.41,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
64028,2801,82.41,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
66457,2429,82.41,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
69496,3039,82.41,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
72460,2964,82.41,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
76398,3938,82.41,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
80463,4065,82.41,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
85264,4801,82.41,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
89249,3985,69.44,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
93983,4734,69.44,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
98943,4960,69.44,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
103671,4728,61.11,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
108317,4646,61.11,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
113702,5385,61.11,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
119536,5834,61.11,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
125933,6397,61.11,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
125933,0,61.11,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
132405,6472,61.11,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
144478,12073,61.11,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
148921,4443,61.11,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
154760,5839,61.11,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
160118,5358,61.11,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
165062,4944,61.11,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
171666,6604,61.11,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
176617,4951,58.33,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
181088,4471,58.33,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
185034,3946,60.19,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
188926,3892,60.19,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
192970,4044,60.19,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
195745,2775,60.19,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
198883,3138,60.19,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
202955,4072,60.19,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
206512,3557,60.19,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
209337,2825,60.19,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
213470,4133,60.19,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
217809,4339,60.19,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
221896,4087,66.67,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
221896,0,66.67,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
225283,3387,66.67,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
231818,6535,66.67,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
