location,date,total_cases,cardiovasc_death_rate,total_deaths,handwashing_facilities,total_cases_per_million
Pakistan,3/18/2020,454,423.031,2.0,59.607,2.055
Pakistan,3/19/2020,501,423.031,3.0,59.607,2.268
Pakistan,3/20/2020,730,423.031,3.0,59.607,3.305
Pakistan,3/21/2020,776,423.031,5.0,59.607,3.513
Pakistan,3/22/2020,875,423.031,6.0,59.607,3.961
Pakistan,3/23/2020,972,423.031,7.0,59.607,4.4
Pakistan,3/24/2020,1063,423.031,8.0,59.607,4.812
Pakistan,3/25/2020,1201,423.031,9.0,59.607,5.437
Pakistan,3/26/2020,1373,423.031,11.0,59.607,6.216
Pakistan,3/27/2020,1495,423.031,12.0,59.607,6.768
Pakistan,3/28/2020,1597,423.031,14.0,59.607,7.23
Pakistan,3/29/2020,1717,423.031,21.0,59.607,7.773
Pakistan,3/30/2020,1938,423.031,26.0,59.607,8.774
Pakistan,3/31/2020,2118,423.031,27.0,59.607,9.588
Pakistan,4/1/2020,2421,423.031,34.0,59.607,10.96
Pakistan,4/2/2020,2686,423.031,40.0,59.607,12.16
Pakistan,4/3/2020,2818,423.031,41.0,59.607,12.757
Pakistan,4/4/2020,3157,423.031,47.0,59.607,14.292
Pakistan,4/5/2020,3766,423.031,53.0,59.607,17.049
Pakistan,4/6/2020,4035,423.031,57.0,59.607,18.267
Pakistan,4/7/2020,4263,423.031,61.0,59.607,19.299
Pakistan,4/8/2020,4489,423.031,65.0,59.607,20.322
Pakistan,4/9/2020,4695,423.031,66.0,59.607,21.255
Pakistan,4/10/2020,5011,423.031,86.0,59.607,22.685
Pakistan,4/11/2020,5230,423.031,91.0,59.607,23.677
Pakistan,4/12/2020,5496,423.031,93.0,59.607,24.881
Pakistan,4/13/2020,5837,423.031,96.0,59.607,26.425
Pakistan,4/14/2020,6383,423.031,111.0,59.607,28.896
Pakistan,4/15/2020,6919,423.031,128.0,59.607,31.323
Pakistan,4/16/2020,7025,423.031,135.0,59.607,31.803
Pakistan,4/17/2020,7638,423.031,143.0,59.607,34.578
Pakistan,4/18/2020,8348,423.031,168.0,59.607,37.792
Pakistan,4/19/2020,8418,423.031,176.0,59.607,38.109
Pakistan,4/20/2020,9565,423.031,201.0,59.607,43.302
Pakistan,4/21/2020,10076,423.031,212.0,59.607,45.615
Pakistan,4/22/2020,11155,423.031,237.0,59.607,50.5
Pakistan,4/23/2020,11940,423.031,253.0,59.607,54.053
Pakistan,4/24/2020,12723,423.031,269.0,59.607,57.598
Pakistan,4/25/2020,13328,423.031,281.0,59.607,60.337
Pakistan,4/26/2020,13915,423.031,292.0,59.607,62.994
Pakistan,4/27/2020,14612,423.031,312.0,59.607,66.15
Pakistan,4/28/2020,15525,423.031,343.0,59.607,70.283
