location,date,total_cases,new_cases,new_cases_smoothed,new_deaths,total_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million
Pakistan,2/6/2021,554474,1346,1380.143,53.0,11967.0,44.286,2510.155,6.093
Pakistan,2/7/2021,555511,1037,1297.571,59.0,12026.0,49.0,2514.85,4.695
Pakistan,2/8/2021,556519,1008,1267.286,40.0,12066.0,45.714,2519.413,4.563
Pakistan,2/9/2021,557591,1072,1222.714,62.0,12128.0,46.571,2524.266,4.853
Pakistan,2/10/2021,559093,1502,1221.857,57.0,12185.0,50.286,2531.066,6.8
Pakistan,2/11/2021,560363,1270,1217.286,33.0,12218.0,47.429,2536.815,5.749
Pakistan,2/12/2021,561625,1262,1213.857,58.0,12276.0,51.714,2542.528,5.713
Pakistan,2/13/2021,563029,1404,1222.143,31.0,12307.0,48.571,2548.884,6.356
Pakistan,2/14/2021,564077,1048,1223.714,26.0,12333.0,43.857,2553.629,4.744
Pakistan,2/16/2021,565989,1912,1199.714,103.0,12436.0,44.0,2562.285,8.656
Pakistan,2/17/2021,567261,1272,1166.857,52.0,12488.0,43.286,2568.043,5.758
Pakistan,2/18/2021,568506,1245,1163.286,39.0,12527.0,44.143,2573.679,5.636
Pakistan,2/19/2021,569846,1340,1174.429,36.0,12563.0,41.0,2579.746,6.066
Pakistan,2/20/2021,571174,1328,1163.571,38.0,12601.0,42.0,2585.757,6.012
Pakistan,2/21/2021,572334,1160,1179.571,16.0,12617.0,40.571,2591.009,5.251
Pakistan,2/22/2021,573384,1050,1329.571,41.0,12658.0,46.429,2595.762,4.753
Pakistan,2/23/2021,574580,1196,1227.286,50.0,12708.0,38.857,2601.177,5.414
Pakistan,2/24/2021,575941,1361,1240.0,64.0,12772.0,40.571,2607.338,6.161
Pakistan,2/25/2021,577482,1541,1282.286,32.0,12804.0,39.571,2614.314,6.976
Pakistan,2/26/2021,578797,1315,1278.714,33.0,12837.0,39.143,2620.268,5.953
Pakistan,2/27/2021,579973,1176,1257.0,23.0,12860.0,37.0,2625.591,5.324
Pakistan,2/28/2021,581365,1392,1290.143,36.0,12896.0,39.857,2631.893,6.302
Pakistan,3/1/2021,582528,1163,1306.286,42.0,12938.0,40.0,2637.158,5.265
Pakistan,3/2/2021,583916,1388,1333.714,75.0,13013.0,43.571,2643.442,6.284
Pakistan,3/3/2021,585435,1519,1356.286,63.0,13076.0,43.429,2650.318,6.877
Pakistan,3/4/2021,587014,1579,1361.714,52.0,13128.0,46.286,2657.467,7.148
Pakistan,3/5/2021,588728,1714,1418.714,38.0,13166.0,47.0,2665.226,7.759
Pakistan,3/6/2021,590508,1780,1505.0,39.0,13205.0,49.286,2673.284,8.058
Pakistan,3/7/2021,592100,1592,1533.571,22.0,13227.0,47.286,2680.491,7.207
Pakistan,3/8/2021,593453,1353,1560.714,54.0,13281.0,49.0,2686.617,6.125
Pakistan,3/9/2021,595239,1786,1617.571,43.0,13324.0,44.429,2694.702,8.085
Pakistan,3/10/2021,597497,2258,1723.143,53.0,13377.0,43.0,2704.924,10.222
Pakistan,3/11/2021,600198,2701,1883.429,53.0,13430.0,43.143,2717.152,12.228
Pakistan,3/12/2021,602536,2338,1972.571,46.0,13476.0,44.286,2727.736,10.584
Pakistan,3/13/2021,605200,2664,2098.857,32.0,13508.0,43.286,2739.796,12.06
Pakistan,3/14/2021,607453,2253,2193.286,29.0,13537.0,44.286,2749.996,10.2
Pakistan,3/15/2021,609964,2511,2358.714,58.0,13595.0,44.857,2761.363,11.368
Pakistan,3/16/2021,612315,2351,2439.429,61.0,13656.0,47.429,2772.007,10.643
Pakistan,3/17/2021,615810,3495,2616.143,61.0,13717.0,48.571,2787.829,15.822
Pakistan,3/18/2021,619259,3449,2723.0,40.0,13757.0,46.714,2803.443,15.614
Pakistan,3/19/2021,623135,3876,2942.714,42.0,13799.0,46.143,2820.99,17.547
Pakistan,3/20/2021,626802,3667,3086.0,44.0,13843.0,47.857,2837.591,16.601
Pakistan,3/21/2021,630471,3669,3288.286,20.0,13863.0,46.571,2854.2,16.61
Pakistan,3/22/2021,633741,3270,3396.714,72.0,13935.0,48.571,2869.004,14.804
Pakistan,3/23/2021,637042,3301,3532.429,30.0,13965.0,44.143,2883.948,14.944
Pakistan,3/24/2021,640988,3946,3596.857,63.0,14028.0,44.429,2901.812,17.864
