total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
6,0,0.286,,,0,0.027,0,0.001,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,28.7,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
6,0,0.286,,,0,0.027,0,0.001,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,28.7,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
6,0,0.286,,,0,0.027,0,0.001,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,28.7,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
16,10,1.571,,,0,0.072,0.045,0.007,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,28.7,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
19,3,2,,,0,0.086,0.014,0.009,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,28.7,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
20,1,2.143,,,0,0.091,0.005,0.01,,,0,,,,,,,,,,,471,0.002,,,,,,,,,,,,,,,28.7,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
28,8,3.143,,,0,0.127,0.036,0.014,,,0,,,,,,,,,,60,531,0.002,0,,,,,,,,,,,,,,28.7,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
31,3,3.571,,,0,0.14,0.014,0.016,,,0,,,,,,,,,,78,609,0.003,0,,,,,,,,,,,,,,52.78,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
53,22,6.714,,,0,0.24,0.1,0.03,,,0,,,,,,,,,,75,684,0.003,0,,,,,,,,,,,,,,52.78,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
136,83,18.571,,,0,0.616,0.376,0.084,,,0,,,,,,,,,,149,833,0.004,0.001,,,,,,,,,,,,,,52.78,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
236,100,31.429,,,0,1.068,0.453,0.142,,,0,2.39,,,,,,,,,292,1125,0.005,0.001,,,,,,,,,,,,,,52.78,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
299,63,40,,,0,1.354,0.285,0.181,,,0,2.34,,,,,,,,,16,1141,0.005,0,,,,,,,,,,,,,,52.78,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
454,155,62,2,2,0.286,2.055,0.702,0.281,0.009,0.009,0.001,2.29,,,,,,,,,1022,2163,0.01,0.005,242,0.001,0.256,3.9,,,,,,,,,,52.78,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
501,47,67.571,3,1,0.429,2.268,0.213,0.306,0.014,0.005,0.002,2.2,,,,,,,,,1247,3410,0.015,0.006,411,0.002,0.164,6.1,,,,,,,,,,52.78,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
730,229,99.857,3,0,0.429,3.305,1.037,0.452,0.014,0,0.002,2.14,,,,,,,,,591,4001,0.018,0.003,485,0.002,0.206,4.9,,,,,,,,,,52.78,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
776,46,103.286,5,2,0.714,3.513,0.208,0.468,0.023,0.009,0.003,2.03,,,,,,,,,1224,5225,0.024,0.006,649,0.003,0.159,6.3,,,,,,,,,,55.56,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
875,99,105.571,6,1,0.857,3.961,0.448,0.478,0.027,0.005,0.004,1.96,,,,,,,,,219,5444,0.025,0.001,659,0.003,0.16,6.2,,,,,,,,,,55.56,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
